index,Name,Location,Rank,Description,Tuition and fees,In-state,Undergrad Enrollment
187,Kent State University,"Kent, OH",188,"Kent State University is located in northeastern Ohio, about 40 miles south of Cleveland, with seven...","$18,376 ",,"23,607"
188,North Dakota State University,"Fargo, ND",188,"North Dakota State University is located in the city of Fargo, on the eastern border of the state. U...","$19,790 ",,"12,037"
189,Pace University,"New York, NY",188,"With two main campuses, Pace University offers its students two distinct collegiate experiences. At ...","$42,772 ",,"8,747"
190,Robert Morris University,"Moon Township, PA",188,"Founded in 1921, Robert Morris University is a private institution. Robert Morris University follows...","$28,250 ",,"4,497"
191,Suffolk University,"Boston, MA",188,Visitors to the Massachusetts State House in the heart of downtown Boston have surely come across th...,"$35,578 ",,"5,565"
192,University of Hartford,"West Hartford, CT",188,"The University of Hartford, also known as UHart or U of H, is located in central Connecticut, midway...","$37,790 ",,"5,246"
193,Bowling Green State University,"Bowling Green, OH",194,"Bowling Green State University is located in northern Ohio, about 85 miles south of Detroit and 115 ...","$18,332 ",,"14,334"
194,University of Houston,"Houston, TX",194,"The University of Houston is situated in one of the largest cities in the country, which puts studen...","$25,410 ",,"34,716"
195,Western Michigan University,"Kalamazoo, MI",194,"Western Michigan University is located in the city of Kalamazoo, midway between Detroit and Chicago....","$25,713 ",,"18,567"
196,Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",197,"Indiana University-Purdue University Indianapolis, better known as IUPUI, offers more than 250 degre...","$29,791 ",,"21,985"
197,Lesley University,"Cambridge, MA",197,"Founded in 1909, Lesley University is a private institution. The school has 74.5 percent of its clas...","$25,750 ",,"1,520"
198,University of Alabama--Huntsville,"Huntsville, AL",197,"Located at the southern edge of the Appalachian Mountains, the University of Alabama--Huntsville cam...","$20,622 ",,"6,013"
199,University of Colorado--Denver,"Denver, CO",197,"The main University of Colorado--Denver campus is located downtown, with the Anschutz Medical Campus...","$29,334 ",,"14,036"
200,University of Nevada--Reno,"Reno, NV",197,The University of Nevada--Reno is located on the border between the Great Basin and the Sierra Nevad...,"$21,052 ",,"17,770"
201,California State University--Fullerton,"Fullerton, CA",202,"California State University--Fullerton (CSUF) is located in the center of Orange County, about 30 mi...","$17,596 ",,"33,144"
202,Central Michigan University,"Mount Pleasant, MI",202,"Central Michigan University is located in Mount Pleasant, about 150 miles northwest of Detroit. At C...","$23,670 ",,"20,498"
203,Louisiana Tech University,"Ruston, LA",202,"Founded in 1894, Louisiana Tech University is a public institution. Louisiana Tech University follow...","$25,851 ",,"10,682"
204,South Dakota State University,"Brookings, SD",202,"Founded in 1881, South Dakota State University is a public institution. The school has 32.4 percent ...","$11,403 ",,"11,007"
205,University of Alaska--Fairbanks,"Fairbanks, AK",202,University of Alaska--Fairbanks is a public institution that was founded in 1917. It has a total und...,"$22,469 ",,"7,610"
206,University of North Carolina--Charlotte,"Charlotte, NC",202,"Founded in 1946, University of North Carolina--Charlotte is a public institution. University of Nort...","$20,193 ",,"22,732"
207,University of North Dakota,"Grand Forks, ND",202,The University of North Dakota is located in the city of Grand Forks on the eastern edge of the stat...,"$18,899 ",,"11,577"
208,University of South Dakota,"Vermillion, SD",202,"Founded in 1862, University of South Dakota is a public institution. University of South Dakota offe...","$11,688 ",,"7,435"
209,East Carolina University,"Greenville, NC",210,"East Carolina University is located in Greenville, North Carolina, about 80 miles from the state cap...","$22,904 ",,"23,039"
210,Montana State University,"Bozeman, MT",210,"Located in the city of Bozeman, Montana State University offers about 60 areas of study for undergra...","$23,042 ",,"13,707"
211,Old Dominion University,"Norfolk, VA",210,"Originally created as a division of the College of William and Mary, Old Dominion University is now ...","$27,028 ",,"20,101"
212,University of Missouri--Kansas City,"Kansas City, MO",210,"At the University of Missouri--Kansas City, students can choose from more than 120 academic programs...","$22,714 ",,"11,253"
213,Ashland University,"Ashland, OH",214,"At Ashland University, undergraduate students have more than 70 options for majors, including actuar...","$20,392 ",,"3,716"
214,Dallas Baptist University,"Dallas, TX",214,"At Dallas Baptist University, or DBU, faith is integrated into academics and campus life. The univer...","$26,180 ",,"3,315"
215,Northern Illinois University,"DeKalb, IL",214,Northern Illinois University is located about 65 miles west of Chicago in the city of DeKalb. Gradua...,"$23,799 ",,"15,027"
216,Nova Southeastern University,"Ft. Lauderdale, FL",214,"Founded in 1964, Nova Southeastern University is a private institution. The school has 78.2 percent ...","$27,660 ",,"4,641"
217,Southern Illinois University--Carbondale,"Carbondale, IL",214,"Founded in 1869, Southern Illinois University--Carbondale is a public institution. Southern Illinois...","$27,130 ",,"13,031"
218,University of Montana,"Missoula, MT",214,"The University of Montana campus in Missoula is situated by the Clark Fork River, near Mount Sentine...","$24,562 ",,"8,732"
219,Benedictine University,"Lisle, IL",220,"Founded in 1887, Benedictine University is a private institution. The school has 70.7 percent of its...","$32,170 ",,"3,347"
220,California State University--Fresno,"Fresno, CA",220,California State University--Fresno is located at the foot of the Sierra Nevada range in the middle ...,"$17,209 ",,"21,482"
221,Gardner-Webb University,"Boiling Springs, NC",220,"Founded in 1905, Gardner-Webb University is a private institution. Gardner-Webb University follows a...","$29,850 ",,"2,615"
222,New Mexico State University,"Las Cruces, NM",220,"There are five New Mexico State University locations, with the main campus situated in Las Cruces, a...","$21,234 ",,"12,526"
223,Shenandoah University,"Winchester, VA",220,Shenandoah University is a private institution that was founded in 1875. It has a total undergraduat...,"$31,322 ",,"2,010"
224,Tennessee Technological University,"Cookeville, TN",220,"Founded in 1915, Tennessee Technological University is a public institution. Tennessee Technological...","$24,800 ",,"9,801"
225,University of Massachusetts--Boston,"Boston, MA",220,"Founded in 1964, University of Massachusetts--Boston is a public institution. University of Massachu...","$32,023 ",,"12,949"
226,University of Massachusetts--Dartmouth,"North Dartmouth, MA",220,"Located about 60 miles south of Boston, the University of Massachusetts--Dartmouth offers more than ...","$19,270 ",,"7,295"
227,University of Missouri--St. Louis,"St. Louis, MO",220,Undergraduates at University of Missouri--St. Louis can choose from about 50 bachelor's degree progr...,"$26,277 ",,"13,569"
228,University of North Carolina--Greensboro,"Greensboro, NC",220,"University of North Carolina--Greensboro is located in the central part of the state, about midway b...","$21,595 ",,"15,951"
229,University of Southern Mississippi,"Hattiesburg, MS",220,The University of Southern Mississippi has two campuses: a main location in Hattiesburg and a comple...,"$16,094 ",,"11,840"
230,Utah State University,"Logan, UT",220,"Founded in 1888, Utah State University is a public institution. Utah State University offers a Greek...","$19,772 ",,"25,259"
